airfoil,thickness,thickness_loc,camber,camber_loc,le_radius,te_angle,avg_LD,peak_LD,peak_AoA
goe256.dat,0.160231,0.317317,0.047127,0.396396,0.047049,,81.2213,90.9747,3.0
raf34.dat,0.126597,0.321321,0.02002,0.31031,0.023932,,64.9102,90.9029,6.0
goe440.dat,0.154316,0.258258,0.096998,0.399399,0.052217,,49.5891,90.8551,1.0
sg6041.dat,0.100014,0.361361,0.019997,0.392392,0.027945,12.1988,72.6875,90.777,3.0
rhodesg30.dat,0.098316,0.254254,0.04911,0.255255,0.021387,,67.9782,90.7751,5.0
goe655.dat,0.140615,0.251251,0.043941,0.382382,0.02924,,81.6338,90.7666,8.0
goe488.dat,0.0681,0.208208,0.030594,0.358358,0.026641,,68.7458,90.7545,1.0
e682.dat,0.153225,0.424424,0.030265,0.406406,0.029859,11.7922,60.6587,90.7404,6.0
goe600.dat,0.131343,0.328328,0.018825,0.504505,0.031553,,69.3798,90.5602,4.0
sp4721la.dat,0.213914,0.357357,0.042242,0.680681,0.043603,11.5263,79.1762,90.5586,7.0
s2060.dat,0.08002,0.294294,0.018128,0.471471,0.022814,6.8821,69.7911,90.553,3.0
mh20.dat,0.090085,0.315315,0.020406,0.358358,0.019661,7.6288,60.0323,90.4944,5.0
goe298.dat,0.128323,0.201201,0.045379,0.4004,0.049727,,72.6798,90.4939,7.0
sp4721bs.dat,0.214233,0.357357,0.044384,0.682683,0.041721,10.7479,79.4126,90.4544,7.0
n24.dat,0.17052,0.275275,0.08612,0.31031,0.040281,,77.9873,90.3907,2.0
hq3518.dat,0.180039,0.356356,0.035069,0.517518,0.03544,,75.932,90.3639,4.0
naca644221.dat,0.209985,0.368368,0.011036,0.513514,0.044182,,57.603,90.3617,8.0
ag35.dat,0.087233,0.279279,0.043668,0.269269,0.023529,9.2883,72.5724,90.3317,3.0
df101.dat,0.110058,0.281281,0.029627,0.009009,0.030818,11.2374,75.9729,90.2654,4.0
e664.dat,0.166355,0.432432,0.027605,0.4004,0.032179,13.014,62.1681,90.2375,7.0
e547.dat,0.174065,0.384384,0.02079,0.287287,0.032526,14.6523,64.7393,90.2374,8.0
e331.dat,0.112868,0.301301,0.026045,0.217217,0.029316,13.384,63.5393,90.2112,8.0
naca001034a08cli0.2.dat,0.100008,0.399399,0.013311,0.518519,0.022032,,59.4162,90.1873,3.0
fg3.dat,0.101439,0.289289,0.050719,0.289289,0.018224,,68.4006,90.0884,7.0
goe420.dat,0.187636,0.288288,0.043068,0.483483,0.042705,,78.2108,90.0738,6.0
fx63158.dat,0.158214,0.348348,0.037703,0.369369,0.028768,6.7251,77.3166,90.0594,5.0
goe113.dat,0.066679,0.323323,0.031146,0.36036,0.014088,,40.2066,90.0099,3.0
goe100.dat,0.066087,0.251251,0.036057,0.376376,0.027075,,75.4643,89.9321,1.0
l188root.dat,0.139992,0.397397,0.019967,0.515516,0.033719,16.9989,66.2704,89.9281,4.0
hq2012.dat,0.119736,0.346346,0.01994,0.502503,0.025711,9.3166,71.9876,89.899,4.0
fx69h083.dat,0.084141,0.356356,0.024404,0.34034,0.018325,,68.5407,89.8889,4.0
fx05191.dat,0.191563,0.4004,0.026272,0.531532,0.033728,11.1795,72.2369,89.7975,6.0
nacacyh.dat,0.117071,0.283283,0.058516,0.288288,0.024243,,76.757,89.7865,7.0
stf86361.dat,0.146862,0.465465,0.045727,0.711712,0.021949,13.2477,45.9418,89.7846,4.0
drgnfly.dat,0.19341,0.377377,0.06562,0.404404,0.035387,20.5199,78.5136,89.7431,7.0
